objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
CLAIRE_015,015_Chart Showing the frequency of Land claims in Enugu.jpeg,,Chart Showing the frequency of Land claims in Enugu,image/jpeg,"This chart illustrates the frequency of land claims in Enugu over time between native communities and the government, it highlights the contested nature of land ownership and the enduring struggle over land rights in the region. ",Uzoamaka Nwachukwu,Enugu people and the public,2024,yes,single-page; image,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_016,016_Chart Showing Enugu Land claim debates.jpeg,,Chart Showing Enugu Land claim debates,image/jpeg,"This chart depicts the debates over Enugu lands between government (colonial and post-colonial) and native claims, it underscores the tensions surrounding land control and ownership illustrating how indigenous communities contested colonial expropriation, adapted to displacement, and negotiated for rights through petitions and cultural resilience, as reflected in the ongoing dialogue over land ownership and its historical implications.",Uzoamaka Nwachukwu,Enugu people and the public,2024,yes,single-page; image,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_017,,AbSrtowF2iA,LOST COAL MINES OF ENUGU,video/mpeg,"This video sheds light on the socio-economic and emotional toll of colonial exploitation in Enugu, where coal mining symbolized both opportunity and dispossession for indigenous communities. By documenting the reflections of a former coal miner turned village chief, it provides a poignant perspective on the lasting impacts of land dispossession and the resilience of indigenous resistance in the face of systemic neglect.","
WIZYGBE TOURS TV",Enugu people and the public,2022,yes,youtube video,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,,WIZYGBE TOURS TV - YouTube,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Audio,eng,
CLAIRE_018,,nh3Y2rLDq4I,Enugu State: From Coal Mines to Cultural Hub,video/mpeg,"This video traces the transformation of Enugu State from a coal mining hub, rooted in colonial exploitation, to a modern cultural center. By exploring the region’s socio-economic evolution and its untold stories, the video provides critical insights into the long-term impacts of colonial land use policies on indigenous livelihoods and the resilience of local communities in reclaiming their cultural and economic identity.","
Two Travels and Histories",Enugu people and the public,2024,yes,youtube video,"Colonialism, Urbanization , Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,,"Double the Travel, Double the History! 🌎🌍",,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Audio,eng,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Criticizing Orthodox Religion; Church in Decline; Jesus Christ,,,,,,,,,,,,,,
,,,,,,,,,,,Hitler; Mussolini; Hirohito; Axis; World War,,,,,,,,,,,,,,
,,,,,,,,,,,Spirit of God; Psychiana Affirmations; Hitler; Mussolini,,,,,,,,,,,,,,
,,,,,,,,,,,Donations; Blitzkrieg; Hitler; Success; World War; Illustrations,,,,,,,,,,,,,,
,,,,,,,,,,,Hitler; Spirit of God; Prayer; Speak Into Existence; Psychiana Affirmations,,,,,,,,,,,,,,
,,,,,,,,,,,Portland; God-Realm; God-Law,"Portland, OR",45.57872,-122.71349,,,,,,,,,,,
,,,,,,,,,,,Psychiana Headquarters; Psychiana Staff; W.W. DeBolt,,,,,,,,,,,,,,
,,,,,,,,,,,Spokane; Auditorium,"Los Angeles, CA",34.054709,-118.261773,,,,,,,,,,,
