objectid,filename,youtubeid,visualization.html,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,From,To,Coordinate_From,Coordinates_To,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
CLAIRE_011,CLAIRE_011_Udi Colliery_Shearing Enclave.png,,,Udi Colliery Shearing Enclave,image/png,"This historical photograph of the Udi Colliery captures the physical transformation of the land for coal mining, symbolizing the processes of colonial land dispossession and resource exploitation in Enugu. The image visually illustrates the infrastructura","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1920,yes,single-page; image,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_012,CLAIRE_012_Location of Industry.jpg,,,Location of Industry,image/png,The  geographic locations of industries provides a spatial visualization of the distribution of colonial industrial activities such as mining in Enugu. This is relevant to understanding colonial land dispossession and reasons for indigenous resistance. Th,The Nigerian Federal Ministry Of Commerce And Industry,Enugu people and the public,1961,yes,single-page; image,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,Handbook Of Commerce And Industry In Nigeria Created By The Nigerian Federal Ministry Of Commerce And Industry.,IU Library,Handbook of commerce and industry in Nigeria : map supplement | Search Results | IUCAT,G2695 .N54 1961,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_014,CLAIRE_014_Coal at Onyeama Mines Enugu.png,,,Coal at Onyeama Mines Enugu,image/png,"This image depicts coal deposits at the Onyeama Mines in Enugu, It visually underscores the legacy of colonial resource extraction and the material basis of land dispossession in the region. It illustrates how colonial control over natural resources disru","Robinson, Frank B.",Enugu people and the public,1920,,single-page; image,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_015,CLAIRE_015_Chart Showing the frequency of Land claims in Enugu.jpg,,,Chart Showing the frequency of Land claims in Enugu,image/jpeg,"This chart illustrates the frequency of land claims in Enugu over time between native communities and the government, it highlights the contested nature of land ownership and the enduring struggle over land rights in the region. ",Uzoamaka Nwachukwu,Enugu people and the public,2024,yes,single-page; image,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_016,CLAIRE_016_Chart Showing Enugu Land claim debates.jpg,,,Chart Showing Enugu Land claim debates,image/jpeg,"This chart depicts the debates over Enugu lands between government (colonial and post-colonial) and native claims, it underscores the tensions surrounding land control and ownership illustrating how indigenous communities contested colonial expropriation,",Uzoamaka Nwachukwu,Enugu people and the public,2024,yes,single-page; image,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_017,,AbSrtowF2iA,,LOST COAL MINES OF ENUGU,video/mpeg,"This video sheds light on the socio-economic and emotional toll of colonial exploitation in Enugu, where coal mining symbolized both opportunity and dispossession for indigenous communities. By documenting the reflections of a former coal miner turned vil","
WIZYGBE TOURS TV",Enugu people and the public,2022,yes,youtube video,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,,WIZYGBE TOURS TV - YouTube,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free us,https://rightsstatements.org/vocab/InC-EDU/1.0/,Audio,eng,
CLAIRE_018,,nh3Y2rLDq4I,,Enugu State: From Coal Mines to Cultural Hub,video/mpeg,"This video traces the transformation of Enugu State from a coal mining hub, rooted in colonial exploitation, to a modern cultural center. By exploring the regionâ€™s socio-economic evolution and its untold stories, the video provides critical insights int","
Two Travels and Histories",Enugu people and the public,2024,yes,youtube video,Colonialism; Urbanization; Resource control; Environmental Justice; ,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,,"Double the Travel, Double the History! ðŸŒŽðŸŒ",,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free us,https://rightsstatements.org/vocab/InC-EDU/1.0/,Audio,eng,
CLAIRE_019,CLAIRE_019_1906 Annual Report.png,,,1906 Annual Report.png,image/jpeg,The 1906 Blue Book of Southern Nigeria contains the The Crown Lands Management Proclamation of 1906,His Majesty's Stationery Office,Enugu people and the public,1906,yes,single-page; image,Land;  Crown;  Public;  Resources;  Extraction ,Lagos,,,,,,,"Annual Report of the Colonies, Southern Nigeria, 1906 ",,,,,,,
CLAIRE_020,CLAIRE_020_1910 Annual Report.png,,,1910 Annual Report.png,image/jpeg,"The 1910 Blue book of Southern Nigeria contains report of UDI PATROL- 21st September-31st October, 1910",His Majesty's Stationery Office,Enugu people and the public,1910,yes,single-page; image,War;  Land;  Conquest;  Native;  Military;  Patrol,"Enugu, Nigeria",,,,,,,Annual report 1910 (Southern Nigeria) - Google Docs ,,,,,,,
CLAIRE_021,CLAIRE_021_1914 Annual Report.png,,,1914 ANNUAL REPORT.png,image/jpeg,"The 1914 Blue book of Southern Nigeria contains report of infrastructural development of Enugu coal along with a local unrest against surveyors stemming from fears of land confiscation, which the colonial government mitigated through a combination of military intervention, diplomatic negotiation, and labor management. ",His Majesty's Stationery Office,Enugu people and the public,1914,yes,single-page; image,Land;  Survey;  Attack;  Native;  Minerals,"Enugu, Nigeria",,,,,,,ir.nilds.gov.ng/handle/123456789/1050 ,,,,,,,
CLAIRE_022,CLAIRE_022_1915_Udi_Chiefs_bequeaths_Indigenous_Lands.txt,,,1915 Udi Chiefs bequeaths Indigenous Lands.txt,text,"Chiefs of Udi Division granted land for government use, including railway and colliery purposes, in exchange for compensation for damages ",,Enugu people and the public,19/11/1915,yes,single-page; image,Land;  Chiefs;  Compensation;  Colliery;  Agreement ,Udi Division,"Enugu, Southern Provinces","6.4923° N, 7.4986° E","6.4584° N, 7.5464° E",,"Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others.""Minute of Attorney General, Conf. Op. 32/1920, ONDIST 11/7/2",,"Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others.""Minute of Attorney General, Conf. Op. 32/1920, ONDIST 11/7/2",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_023,CLAIRE_023_1915_Compensation_for_Destroyed_Trees_to_Enugu_communities.txt,,,1915 Compensation for Destroyed Trees to Enugu communities.txt,text,Enugu chiefs received monetary compensation for damages to crops and property caused by government operations ,,Enugu people and the public,19/11/1915,yes,single-page; image,Compensation;  Crops;  Damage;  Enugu;  Chiefs ,Udi Division,"Enugu, Southern Provinces","6.4923° N, 7.4986° E","6.4584° N, 7.5464° E",,"Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others.""Chief Onyeama of Eke, Agreement Afridavit, Conf. Op. 32/1920, ONDIST 11/7/2 ",,"Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others.""Chief Onyeama of Eke, Agreement Afridavit, Conf. Op. 32/1920, ONDIST 11/7/2 ",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_024,CLAIRE_024_1917_Chief_Onyeama_of_Eke_Transfer_of_Land_Oath.txt,,,1917  Chief Onyeama of Eke Transfer of Land Oath,text,Chief Onyeama testified under oath to the voluntary and compensated transfer of land to the government for colliery and railway use ,,Enugu people and the public,27/3/1917,yes,single-page; image,Land;  Agreement;  Compensation;  Chiefs;  Colliery ,"Enugu, Nigeria",,,,," Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others.""Senior Resident, Onitsha Province, Hargrove Report, Conf. Op. 32/1920, ONDIST 11/7/2 ",," Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others.""Senior Resident, Onitsha Province, Hargrove Report, Conf. Op. 32/1920, ONDIST 11/7/2 ",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_025,CLAIRE_025_1917_Resident_Officer_Hargrove_Report_on_Enugu_Land.txt,,,1917 Resident Officer Hargrove Report on Enugu Land.txt,text,A report detailing negotiations for additional government land acquisition and compensation disputes involving local chiefs and community members​ ,,Enugu people and the public,01/04/1917,yes,single-page; image,Land;  Compensation;  Chiefs;  Agreement;  Colliery ,Udi Division,"Resident Officer, Onitsha Povince","6.4923° N, 7.4986° E","6.1421° N, 6.7857° E",," Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others.""Senior Resident, Onitsha Province, Hargrove Report, Conf. Op. 32/1920, ONDIST 11/7/2 ",," Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others.""Senior Resident, Onitsha Province, Hargrove Report, Conf. Op. 32/1920, ONDIST 11/7/2 ",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_026,CLAIRE_026_1921_Orie_Abor_Petition_for_Rent.txt,,,1921 Orie Abor Petition for Rent,text,"Chiefs petitioned the government for annual rent for land and coal extraction, claiming earlier payments only covered timber compensation​ ",,Enugu people and the public,07/03/1921,yes,single-page; image,Petition;  Rent;  Compensation;  Land;  Chiefs ,"Orie Abor Meeting Place, Enugu Division","District Officer, Enugu Ngwo","6.4638° N, 7.5121° E","6.4879° N, 7.5460° E",," Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others.""Land Department, Lagos Correspondence, Conf. Op. 32/1920, ONDIST 11/7/2 ",," Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others.""Land Department, Lagos Correspondence, Conf. Op. 32/1920, ONDIST 11/7/2 ",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_027,CLAIRE_027_1922_Petition_From_Enugu_Chiefs.txt,,,1922 Petition From Enugu Chiefs,text,"Chiefs appealed directly to the Governor of Nigeria, demanding shared proceeds or lease rights for land occupied by the government​ ",,Enugu people and the public,23/2/1922,yes,single-page; image,Petition;  Land;  Leasing; Compensation; Coalfields ,"Enugu District, Abaja Tribe","Governor of Nigeria, Lagos","6.4584° N, 7.5464° E","6.5244° N, 3.3792° E",," Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others.""Correspondence, Conf. Op. 32/1920, ONDIST 11/7/2 ",," Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others.""Correspondence, Conf. Op. 32/1920, ONDIST 11/7/2 ",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_028,CLAIRE_028_1938_Leeming_Report_on_the_Anti_Erosion_Campaign.txt,,,1938 Leeming Report on the Anti-Erosion Campaign,text,An anti-erosion project in Ngwo faced opposition from locals who distrusted government intentions regarding their land​ ,,Enugu people and the public,14/4/1938,yes,single-page; image,Erosion;  Forestry;  Resistance;  Crown Lands;  Ngwo ,"District Officer, Udi Division","Ngwo Council, Ngwo","6.4923° N, 7.4986° E","6.4956° N, 7.5050° E",,"Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others."" Correspondence on Petition, Conf. Op. 32/1920, ONDIST 11/7/2",,"Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others."" Correspondence on Petition, Conf. Op. 32/1920, ONDIST 11/7/2",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_029,CLAIRE_029_1938_Boundary_Dispute_Resolution_of_Awbia_settlement.txt,,,1938 Boundary Dispute Resolution of Awbia settlement,text,"Investigations confirmed Awbia settlement as Crown land, dismissing Ngwo claims and emphasizing the contentious nature of land rights under colonial rule​ ",,Enugu people and the public,30/8/1938,yes,single-page; image,Boundary;  Crown Land;  Settlement;  Dispute;  Ngwo ,"Senior Resident, Onitsha Province","Ngwo Council, Ngwo","6.1421° N, 6.7857° E","6.4956° N, 7.5050° E",,"Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others."" Correspondence on Petition, Conf. Op. 32/1920, ONDIST 11/7/2",,"Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others."" Correspondence on Petition, Conf. Op. 32/1920, ONDIST 11/7/2",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_030,CLAIRE_030_ 1938_Response_to_the_return_of_unused_crown_land_to_communities.txt,,,1938  Response to the return of unused crown land to communities,text,Authorities debates returning unused Crown lands while addressing community grievances over earlier acquisitions ,,Enugu people and the public,1938,yes,single-page; image,Land;  Unused;  Surrender;  Farming;  Ngwo ,Ngwo and Nike Councils,"District Officer, Udi Division","6.4205° N, 7.6075° E","6.4923° N, 7.4986° E",,"Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others."" PETITION FROM ENUGU CHIEF, Conf. Op. 32/1920, ONDIST 11/7/2",,"Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others."" PETITION FROM ENUGU CHIEF, Conf. Op. 32/1920, ONDIST 11/7/2",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_031,CLAIRE_031_1938_Report_on_the_Meeting_with_Nike_Chiefs_on_land_for_Enugu_Aerdrome.txt,,,1938 Report on the Meeting with Nike chiefs on land for  Enugu Aerdrome,text,A negotiated settlement over land for an aerodrome included provisions for rent distribution and labor employment for the Nike community​ ,,Enugu people and the public,29/8/1938,yes,single-page; image,Aerodrome;  Rent;  Dispute;  Nike;  Land ,"Senior Resident, Onitsha Province","Nike Chiefs, Idodo","6.1421° N, 6.7857° E","6.4205° N, 7.6075° E",,"Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others."" Correspondence on Petition, Conf. Op. 32/1920, ONDIST 11/7/2",,"Nigerian National Archives, Enugu. ""His Excellency the Governor's Ruling with Reference to Lands to Be Leased by Natives to Merchants or Others."" Correspondence on Petition, Conf. Op. 32/1920, ONDIST 11/7/2",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_032,CLAIRE_032_ I940_Land_Acquisition_based_on_Native_custom.txt,,,I940 Land Acquisition based on Native custom.txt,text,Government recommended acquiring land for public purposes with lump-sum payments as an alternative to annual rents to align with native customs​ ,,Enugu people and the public,11/1940,yes,single-page; image,land;  acquisition;  rent;  custom;  resource,"Enugu, Nigeria",,,,,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
CLAIRE_033,CLAIRE_033_1940_District_Officer_Response_to_Ngwo_Chiefs_on_contested_Crown_land.txt,,,1940 District Officer Response to Ngwo Chiefs on contested Crown land,text,The officer clarified that Crown lands in Enugu were purchased and offered to surrender unused areas to original owners while maintaining government rights to retain or use them ,,Enugu people and the public,14/5/1940,yes,single-page; image,Land;  Unused;  Surrender;  Farming;  Ngwo ,"District Officer, Udi Division","Resident Officer, Onitsha Province","6.4923° N, 7.4986° E","6.1421° N, 6.7857° E",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267.",,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,,,,
